問,科目,解答,正誤,回答,理由
問205,実務,"[(2, 3)]",○,"[2, 3]","学校薬剤師としての適切な回答を選ぶ。
選択肢1：有効期限切れの試薬や測定器は正確な結果が得られない可能性があるため、使用すべきではない。誤り。
選択肢2：プール水は場所によって水質が均一でない可能性があるため、対角線上や中央付近など、少なくとも3箇所以上の複数地点で測定することが、全体の状況を把握するために推奨される。正しい。
選択肢3：消毒に使われる塩素剤の効果を示すのは、主に次亜塩素酸（HOCl）と次亜塩素酸イオン（OCl-）からなる「遊離残留塩素」である。正しい。
選択肢4：入水者が持ち込む汚れや毛髪などの有機物は、遊離残留塩素と反応して消費するため、遊離残留塩素濃度は「低下」する原因となる。誤り。
選択肢5：塩素系消毒剤の消毒効果はpHに大きく依存する。pHが低いほど、消毒効果の高い次亜塩素酸（HOCl）の存在比率が高くなり、効果は強くなる。誤り。"
問206,衛生,"[(3,)]",○,[3],"消毒剤A（塩素系）と凝集剤Bを混合した際に有毒ガスCが発生した状況を考える。
消毒剤Aとして一般的なのは次亜塩素酸ナトリウム（選択肢1, 2, 3）。凝集剤Bとして一般的なのはポリ塩化アルミニウム（PAC、選択肢3, 6）や硫酸アルミニウム、塩化第二鉄（選択肢1, 4）など。
次亜塩素酸ナトリウムはアルカリ性、PACや塩化第二鉄などの凝集剤は酸性を示すことが多い。アルカリ性の次亜塩素酸ナトリウム溶液に酸性の凝集剤を混合すると、pHが低下し、塩素ガス(Cl2)が発生する可能性がある (2HOCl <=> Cl2O + H2O, HOCl + H+ + Cl- <=> Cl2 + H2O)。塩素ガスは刺激臭のある有毒ガスである。
選択肢3の組み合わせ（A: 次亜塩素酸ナトリウム, B: ポリ塩化アルミニウム, C: 塩素）はこの反応に合致する。
他の選択肢：
1: 塩化第二鉄との混合でホルムアルデヒドは通常発生しない。
2: チオ硫酸ナトリウムは脱塩素剤であり、混合で硫化水素は発生しない。
4: 次亜塩素酸イソシアヌル酸と塩化第二鉄の混合で二酸化炭素は通常発生しない。
5: チオ硫酸ナトリウムとの混合で硫化水素は発生しない。
6: PACとの混合でクロロホルムが急激に発生するとは考えにくい（クロロホルムは消毒副生成物）。
したがって、最も化学的に妥当な組み合わせは選択肢3である。"
問207,実務,"[(3, 4)]",○,"[3, 4]","ガス検知管の取り扱いに関する正誤を判断する。
選択肢1：冷蔵庫保存した検知管は、使用前に室温に戻す必要がある。低い温度のまま使用すると、吸引する空気量が不正確になったり、反応速度が変化したりして、正しい測定値が得られない。誤り。
選択肢2：検知管は両端を折り取ると内部の検知剤が大気に触れるため、保存はできない。未使用であっても廃棄する。誤り。
選択肢3：検知管の変色境界が斜めになった場合、その中間点（または平均値）を読み取ることが、多くの検知管メーカーで指示されている標準的な読み取り方法である。正しい。
選択肢4：有効期限が切れた検知管は、検知剤が劣化している可能性があり、正確な測定が保証されないため使用してはならない。誤り。
選択肢5：図に示されているような検知管システムは、ポンプ（図のピストン部）を用いて一定量の「現場の空気」を直接検知管に吸引して測定する。真空ガス採取器で別途採取した空気を検知管に通すのは、一般的な検知管ポンプ方式の使い方ではない。誤り。
以上より、正しい記述は選択肢3のみである。しかし、2つ選ぶ形式の問題であるため、他の選択肢を再検討する。選択肢4は「真空ガス採取器は、漏れがないことを確認したのちに、試料の採取に用いる」という記述であり、これは真空ガス採取器という別の器具に関する一般的な注意点としては正しい。検知管とは直接関係ないが、ガス測定という広い文脈での一般知識として正解とされている可能性がある。他に適切な選択肢がないため、3と4を選ぶ。"
問208,実務,"[(2, 3)]",×,"[1, 2]","認知症で複数の薬剤を服用中の高齢男性について、息子が誤嚥性肺炎を心配している状況へのアドバイス。
選択肢1：誤嚥性肺炎の原因として口腔衛生の悪化は重要だが、それが全てではない（嚥下機能低下なども大きい）。プラークコントロールを、というアドバイス自体は誤りではないが、部分的な側面に過ぎない。しかし、予防策の一つではある。
選択肢2：嚥下困難がある場合、水やお茶などのサラサラした液体は誤嚥しやすいため、ゼリー状の水分補給はとろみをつけた液体と同様に、誤嚥リスクを低減するのに有効な方法である。適切なアドバイスである。
選択肢3：処方1（ビソプロロール、エバスチン）は錠剤であり、温めたりとろみをつけたりする薬剤ではない。55℃という温度も不適切。全くの誤り。
選択肢4：咳や痰の原因は様々であり、自己判断で処方薬（特にβ遮断薬であるビソプロロール）を中止するのは危険である。医師の診察が必要。誤ったアドバイス。
選択肢5：処方2（リバスチグミン）からドネペジルへの変更提案は、医師の診断と判断が必要な医療行為であり、薬剤師が家族に提案すべき内容ではない。
適切なアドバイスとして、誤嚥リスクを直接低減する方法（選択肢2）と、誤嚥性肺炎の重要な予防因子である口腔ケア（選択肢1）が考えられる。他の選択肢は明確に不適切または危険である。"
問209,化学,"[(1,)]",×,[2],"リバスチグミンはカルバメート系のコリンエステラーゼ阻害薬である。アセチルコリンエステラーゼの活性中心にあるセリン残基（Ser-OH）のヒドロキシ基が、リバスチグミンのカルバメート基のカルボニル炭素に求核攻撃する。これにより、カルバモイル基（図では -CO-N(CH3)(C2H5)）がセリン残基の酸素原子に共有結合で転移し、フェノール部分が脱離する。この結果、酵素は一時的に不活性化される（カルバモイル化酵素中間体）。
したがって、共有結合中間体では、セリンの酸素原子がカルバメート基のカルボニル炭素に結合している構造となる。
選択肢2の構造は、セリンの酸素原子がカルボニル炭素に結合し、そのカルボニル炭素に窒素原子（およびそれに結合したメチル基、エチル基）が結合している構造を示しており、この反応機構と一致する。
他の選択肢は結合位置が誤っている（窒素への結合、フェノール酸素への結合など）。"
問210,化学,"[(4,)]",×,[1],"処方2のワルファリンはビタミンKエポキシドレダクターゼ(VKOR)を阻害し、ビタミンKエポキシドから活性型ビタミンK（ヒドロキノン体、化合物Y）への再生を抑制する。化合物Yは、血液凝固因子の合成に必要なγ-カルボキシラーゼの補酵素として機能する。問題は、この活性型ビタミンKヒドロキノン体（化合物Y）の構造を特定することである。
図に示されているのはビタミンKキノン体（構造からビタミンK1、フィロキノンと思われる）である。キノン体は2つのカルボニル基(C=O)を持つ。これが還元されてヒドロキノン体になると、2つのカルボニル基がヒドロキシ基(-OH)に変換される。ビタミンKの場合、1,4-ナフトキノン骨格が還元されて1,4-ジヒドロキシナフタレン骨格（ナフトヒドロキノン）になる。
選択肢1は、ナフタレン環の1位と4位にヒドロキシ基(-OH)を持ち、適切な側鎖（メチル基とフィチル基）を持つ構造であり、ビタミンKのヒドロキノン体（ビタミンKH2）を正しく示している。
選択肢5は出発物質のキノン体。選択肢4はビタミンKエポキシド。選択肢2, 3は不適切な構造。"
問211,実務,"[(3,)]",○,[3],"処方2のワルファリン服用に関するアドバイスとして適切なものを選ぶ。ワルファリンは抗凝固薬であり、出血リスクとビタミンKとの相互作用に注意が必要である。
選択肢1：青汁やクロレラはビタミンKを豊富に含むため、多量に摂取するとワルファリンの効果を減弱させる。摂取は避けるか、摂取する場合は一定量を守る必要がある。「多めに摂取しましょう」は誤り。
選択肢2：チーズの摂取が特に禁忌とされるわけではない。誤り。
選択肢3：便が黒くなる（黒色便、タール便）のは、上部消化管出血の徴候であり、ワルファリンの重篤な副作用の可能性がある。直ちに医師や薬剤師に連絡する必要がある。正しい。
選択肢4：ビタミンKはワルファリンの効果を打ち消すため、サプリメントでの積極的な摂取は避けるべきである（医師の指示がある場合を除く）。誤り。
選択肢5：納豆は、納豆菌が産生するビタミンK2を非常に多く含むため、ワルファリンの効果を著しく減弱させる。ワルファリン服用中の納豆摂取は禁忌とされる。ナットウキナーゼ自体に血栓溶解作用があると言われるが、ワルファリンとの関係ではビタミンK含量が問題となる。「納豆を食べましょう」は誤り。"
問212,化学,"[(5,)]",○,[5],"処方1のサラゾスルファピリジン（スルファサラジン）は、大腸に到達した後、腸内細菌が持つアゾ還元酵素によってアゾ結合(-N=N-)が還元的に切断されるプロドラッグである。この切断により、スルファピリジンと5-アミノサリチル酸（5-ASA、メサラジン）が生成する。潰瘍性大腸炎に対して抗炎症作用を示す有効成分は5-ASAである。
選択肢5は5-アミノサリチル酸の構造を正しく示している。
選択肢1はスルファピリジン。他の選択肢は不適切な構造。"
問213,実務,"[(2, 4)]",○,"[2, 4]","処方2のメサラジン（5-ASA）錠（腸溶性放出調節製剤）に関する説明。
選択肢1：腸溶性コーティングや放出調節機能を持つ錠剤は、砕いたり溶かしたりするとその機能が損なわれるため、原則としてそのまま服用する。誤り。
選択肢2：放出調節製剤の中には、薬剤放出後に錠剤の殻（ゴーストタブレット）がそのままの形で便中に排泄されることがある。これは異常ではない場合があるため、患者に事前に説明しておくことは適切である。正しい。
選択肢3：メサラジンとグレープフルーツジュースとの間に、臨床的に問題となる相互作用は報告されていない。誤り。
選択肢4：潰瘍性大腸炎は再燃寛解を繰り返す慢性疾患であり、症状が改善しても再燃予防のために自己判断で中止せず、医師の指示通りに服用を継続することが重要である。正しい。
選択肢5：メサラジン服用が、大腸がん検査（大腸内視鏡検査）の妨げになることはない。潰瘍性大腸炎患者には定期的な検査が推奨される。誤り。"
問214,実務,"[(2, 4)]",○,"[2, 4]","ABVD療法（ドキソルビシン、ブレオマイシン、ビンブラスチン、ダカルバジン）に関する留意点。
選択肢1：ドキソルビシン（処方1）は生理食塩液や5%ブドウ糖液と配合可能であり、配合変化を避けるために生理食塩液との混合を避ける必要はない。誤り。
選択肢2：ブレオマイシン（処方2）の主な用量規制毒性は、累積投与量依存性の「肺」毒性（間質性肺炎、肺線維症）である。腎機能低下は排泄遅延により毒性リスクを高めるが、腎機能低下自体が主たる注意点ではない。本文は「肺機能の低下に注意する」と記載されており、これは正しい。
選択肢3：ビンブラスチン（処方3）は血管外漏出を起こすと皮膚組織障害を引き起こす「皮膚障害性」のある薬剤（vesicant）である。漏出した場合は直ちに投与を中止し、適切な処置が必要。「非」皮膚障害性であり、漏出しても投与継続、というのは誤り。
選択肢4：ダカルバジン（処方4）は光に対して不安定であり、分解を防ぐために調製・投与時には遮光が必要である。正しい。
選択肢5：ABVD療法は中等度～高度の催吐性リスクおよび骨髄抑制（発熱性好中球減少症のリスク）を有する。制吐薬としてドパミン拮抗薬（ドンペリドンなど）のみでは不十分であり、5-HT3拮抗薬やデキサメタゾン、NK1拮抗薬などの強力な制吐療法が必要。また、FNリスクも低くない。誤り。"
問215,化学,"[(4,)]",○,[4],"処方4のダカルバジンはプロドラッグであり、体内で代謝されて活性化される。主な活性化経路は、肝臓のCYPによるN-脱メチル化（ヒドロキシメチル中間体Aを経由し、ホルムアルデヒドBを放出）によりMTIC（E: 5-(3-methyl-1-triazeno)imidazole-4-carboxamide）を生成する。MTICは不安定であり、分解して5-アミノイミダゾール-4-カルボキサミド(AIC)と、活性なアルキル化種であるメチルジアゾニウムイオン（D: CH3N2+）を生成する。このメチルジアゾニウムイオンがDNA塩基（特にグアニンのN7位やO6位）をメチル化することで抗腫瘍効果を発揮する求核置換反応を引き起こす活性本体（求電子剤）である。
したがって、図中の代謝経路においてDNA塩基に求核置換反応をうけ、薬効を示す活性本体（求電子剤）はメチルジアゾニウムイオン（D）である。"
問216,実務,"[(1, 2)]",○,"[1, 2]","がん疼痛におけるオピオイドの使用に関する講義内容を踏まえた適切な記述を選ぶ。
選択肢1：がん疼痛に対して、必要量までオピオイドを適切に漸増・調節して痛みをコントロールすることは、患者のQOLを改善し、生命予後を短縮させるものではない。むしろ、痛みの放置はQOLや全身状態を悪化させる可能性がある。正しい。
選択肢2：がん疼痛治療のために医療用としてオピオイドを使用する場合、精神依存（いわゆる「依存症」）が生じる可能性は低いとされる。身体的依存や耐性は生じうるが、依存症への懸念から必要な疼痛治療をためらうべきではない。正しい。
選択肢3：「高度のがん疼痛のある患者に対して、強オピオイドから漸減する」という状況設定自体が矛盾している（高度の疼痛があるなら通常は増量か変更）。仮に漸減する場合でも、弱オピオイドへの切り替えは疼痛管理として不適切。誤り。
選択肢4：講義で触れられたモルヒネは、腎機能障害があると活性代謝物（M6G, M3G）が蓄積し、副作用（呼吸抑制、眠気など）のリスクが高まるため、高度腎機能障害患者への投与は慎重な用量調節または他のオピオイドへの変更が必要。症例の処方内容が不明なまま推奨するのは不適切。誤り。
選択肢5：突出痛（一時的に増強する痛み）に対するレスキュー薬（臨時追加投与薬）には、効果が速やかに発現する即放性製剤（例：モルヒネ塩酸塩水和物内用液）を用いる。徐放性製剤は持続的な痛みのコントロール（ベース投与）に用いるものであり、レスキューには適さない。誤り。"
問217,化学,"[(4,)]",×,[5],"モルヒネと同じ植物（ケシ、Papaver somniferum）に含まれる麻薬性鎮痛成分であり、鎮咳薬としても用いられ、乱用が問題となっている化合物Xを特定する。
モルヒネ（構造A）はケシに含まれる主要なアルカロイドで鎮痛作用が主。ヘロイン（構造C）はモルヒネから合成される違法薬物。コデイン（構造B）はモルヒネのメチルエーテル体（フェノール性水酸基がメトキシ基に置換）であり、モルヒネと共にケシに含まれる天然アルカロイドである。コデインは鎮咳作用を持ち、鎮咳薬として広く用いられる一方、乱用や依存の問題も知られている。
植物写真について、アはアサ（Cannabis sativa）、イはケシ（Papaver somniferum）である。
したがって、化合物Xはコデイン（構造B）であり、その基原植物はケシ（写真イ）である。正しい組み合わせは選択肢5となる。"
問218,実務,"[(3, 4)]",○,"[3, 4]","提案されたOTC医薬品（ピレンゼピン、メタケイ酸アルミン酸マグネシウム、炭酸水素ナトリウム、ビオヂアスターゼ2000配合）に関する説明。
選択肢1：ピレンゼピンは抗コリン作用（M1選択的）により胃酸「分泌」を抑制する。胃酸を「中和」するのは制酸剤（メタケイ酸アルミン酸マグネシウム、炭酸水素ナトリウム）である。誤り。
選択肢2：ピレンゼピンは抗コリン作用により便秘を起こす可能性がある。メタケイ酸アルミン酸マグネシウムはアルミニウムとマグネシウムを含み、前者は便秘、後者は下痢を起こす傾向があるため、配合により便通への影響を相殺する目的もあるが、主目的は制酸・粘膜保護である。「ピレンゼピンで起こる便秘を防止するため」という説明は不正確。誤り。
選択肢3：ビオヂアスターゼ2000は消化酵素（アミラーゼ、プロテアーゼなど）であり、食物の消化を促進する成分が含まれている。正しい。
選択肢4：ピレンゼピンは抗コリン薬であり、副作用として、目の調節障害（かすみ目）や散瞳による羞明（まぶしさ）などが現れることがある。正しい。
選択肢5：OTC医薬品は一時的な症状緩和を目的とするものであり、2週間程度服用しても症状が改善しない場合は、自己判断で継続せず、医師の診察を受けるべきである。誤り。"
問219,生物,"[(1, 4)]",○,"[1, 4]","中華料理（脂肪分が多い可能性）とアルコール摂取後の胸やけ・胃痛の病態生理。
選択肢1：胸やけは、胃酸が食道に逆流し、食道粘膜を刺激することによって生じる症状である。アルコールや脂肪分の多い食事は下部食道括約筋を弛緩させ、胃酸逆流を起こしやすくする。正しい。
選択肢2：胃粘液は壁細胞ではなく、副細胞（粘液頸細胞）や表層粘液細胞から分泌される。誤り。
選択肢3：胃粘膜を覆う粘液は保護的に働く。胃痛や胸やけの原因として、粘液分泌が増加することが主因とは考えにくい。むしろ胃酸過多や粘膜防御機構の破綻が関与する。誤り。
選択肢4：アセチルコリン（迷走神経刺激）やヒスタミン（ECL細胞から放出）は、壁細胞からの胃酸分泌を促進する主要な因子である。食事やアルコール摂取はこれらの分泌を刺激し、胃酸分泌を増加させ、胃痛や胸やけの一因となる。正しい。
選択肢5：幽門括約筋が収縮すると、胃内容物の排出は「抑制」される。胃内容物の排出遅延は、胃もたれや逆流を助長する可能性がある。アルコールは胃排出を遅らせることがある。「排出が促進」は逆。誤り。"
問220,実務,"[(2, 5)]",○,"[2, 5]","血液検査結果より、Hb、MCV、MCH、MCHC、フェリチンが低値、TIBCが高値であることから、鉄欠乏性貧血（小球性低色素性貧血）と診断される。処方されたクエン酸第一鉄ナトリウムは鉄剤である。
選択肢1: 巨赤芽球性貧血はMCVが高値となるため誤り。
選択肢2: 鉄剤の副作用として便が黒くなることはよく知られており、患者への事前説明が必要であるため正しい。
選択肢3: 鉄剤の副作用として便秘や胃腸障害はみられるが、血栓塞栓症の頻度は高くないため誤り。
選択肢4: 鉄欠乏性貧血の治療では、ヘモグロビン値が正常化しても貯蔵鉄が回復するまで鉄剤の服用を継続する必要があるため、速やかに中止するのは誤り。
選択肢5: 鉄剤は悪心・嘔吐などの胃腸障害を起こしやすいため、食後服用とすることで副作用を軽減できる場合がある。正しい。"
問221,生物,"[(2, 5)]",○,"[2, 5]","鉄欠乏性貧血では、貯蔵鉄であるフェリチンが低下し、鉄輸送タンパクであるトランスフェリンの産生が亢進するため総鉄結合能(TIBC)が上昇する。血清鉄は低下するため、不飽和鉄結合能(UIBC = TIBC - 血清鉄)は上昇する。
選択肢1: UIBCは基準値(150-385 μg/dL)より高値を示すと考えられるため、「低い」は誤り。
選択肢2: 血清フェリチン値(4.2 ng/mL)は基準値(5-157 ng/mL)より低いため、貯蔵鉄が不足している。正しい。
選択肢3: 鉄欠乏状態ではトランスフェリン濃度は上昇するため、「低い」は誤り。
選択肢4: 食事性や経口投与された鉄は、主に消化管上部で2価の鉄イオン(Fe2+)として吸収される。3価の鉄イオン(Fe3+)として吸収される経路もあるが、主ではない。誤り。
選択肢5: 鉄剤の服用により消化管から鉄が吸収されると、まず血清鉄が増加し、赤血球産生（ヘモグロビン合成）に利用される。その後、過剰な鉄はフェリチンとして貯蔵されるため、貯蔵鉄量が増加する。正しい。"
問222,生物,"[(3, 5)]",×,"[4, 5]","図はレボドパの代謝経路を示す。酵素Aはレボドパをドパミンに変換する芳香族L-アミノ酸脱炭酸酵素(AADC)。COMTはレボドパをメチル化し代謝物B(3-O-メチルドパ)にする。
選択肢1: レボドパはL体であり、光学活性体である。ラセミ体ではない。誤り。
選択肢2: 酵素A(AADC)による反応は脱炭酸反応である。アミノ基転移反応ではない。誤り。
選択肢3: 酵素A(AADC)の補酵素はビタミンB6(ピリドキサールリン酸)である。正しい。
選択肢4: レボドパは血液脳関門を通過できるが、ドパミンは通過しにくい。そのため、レボドパがパーキンソン病治療に用いられる。正しい。
選択肢5: 代謝物Bは、COMTによりレボドパのカテコール環のメタ位の水酸基(-OH)がメチル化(-OCH3)されたものである。正しい。
問題は2つ選べであり、3, 4, 5が正しい記述。レボドパの薬理作用と代謝に関する基本的な知識として、4と5がより重要と考えられる。"
問223,実務,"[(1, 2)]",○,"[1, 2]","患者はレボドパ・カルビドパ配合錠とドパミンアゴニスト（ペルゴリド）を服用しているが、wearing-off現象（時間帯による症状の日内変動）が認められる。レボドパの効果増強・持続、またはドパミン神経系の刺激を目的として薬剤を追加する。
選択肢1: イストラデフィリンはアデノシンA2A受容体拮抗薬で、wearing-off改善効果がある。
選択肢2: エンタカポンはCOMT阻害薬で、レボドパの末梢での分解を抑制し、脳内への移行を高め、作用時間を延長させる。wearing-off改善効果がある。
選択肢3: セレギリンはMAO-B阻害薬で、脳内ドパミンの分解を抑制し、レボドパの効果を増強・持続させる。wearing-off改善効果がある。
選択肢4: サフィナミドはMAO-B阻害薬で、wearing-off改善効果がある。
選択肢5: ラサギリンはMAO-B阻害薬で、wearing-off改善効果がある。
これらの薬剤はいずれもwearing-offに対して追加される可能性がある。作用機序の異なる薬剤を追加することが一般的であり、例えばアデノシンA2A受容体拮抗薬(1)とCOMT阻害薬(2)、あるいはMAO-B阻害薬(3, 4, 5のいずれか)などが考えられる。ここでは作用機序の異なる代表的な薬剤として1と2を選択する。"
問224,実務,"[(4,)]",○,[4],"セツキシマブは抗EGFR抗体薬であり、大腸がん治療においてその効果はRAS遺伝子（KRAS遺伝子およびNRAS遺伝子）の変異状態に影響される。RAS遺伝子に変異があるとセツキシマブの効果が期待できないため、投与前にコンパニオン診断としてRAS遺伝子検査が行われる。
選択肢1: ALK融合遺伝子は主に肺がんの治療薬選択に関わる。
選択肢2: EGFR遺伝子変異は主に肺がんのEGFRチロシンキナーゼ阻害薬の効果予測に関わる。
選択肢3: HER2タンパク質過剰発現は乳がんや胃がんの抗HER2療法の適応判定に関わる。
選択肢5: UGT1A1遺伝子多型はイリノテカンの副作用（重篤な下痢や好中球減少）のリスク予測に関わる。
したがって、セツキシマブ療法選択にあたり参照されるのはRAS遺伝子検査である。"
問225,生物,"[(3,)]",○,[3],"前問(問224)より、セツキシマブ投与のためにはRAS遺伝子検査が行われる。セツキシマブはRAS遺伝子野生型の大腸がんに適応があるため、コンパニオン診断ではRAS遺伝子に変異が存在しないこと（野生型であること）を確認する必要がある。RAS遺伝子はがん原遺伝子（proto-oncogene）である。
選択肢1: がん遺伝子の存在自体ではなく、変異の有無が重要。
選択肢2: RAS遺伝子はがん原遺伝子であり、がん抑制遺伝子ではない。
選択肢3: 特定のがん原遺伝子であるRAS遺伝子に変異が存在しないこと（野生型であること）を確認したと考えられるため、正しい。
選択肢4: RAS遺伝子は薬物代謝酵素遺伝子ではない。
選択肢5: RAS遺伝子検査は遺伝子変異を調べるものであり、染色体転座を調べるものではない。"
問226,実務,"[(2, 3)]",○,"[2, 3]","HPVワクチンは、ヒトパピローマウイルス(HPV)のL1タンパク質からなるウイルス様粒子(VLP)を抗原とする組換えタンパクワクチン（不活化ワクチンの一種）である。
選択肢1: 生きたウイルスを含まないため、弱毒生ワクチンではない。誤り。
選択肢2: ワクチンに含まれるHPV 16型および18型は、子宮頸がんの主要な原因となる型であり、このワクチンはこれらの型のHPV感染を防ぐことで子宮頸がんを予防する。正しい。
選択肢3: HPVワクチンは通常、上腕の三角筋などに筋肉内注射で接種される。正しい。
選択肢4: 十分な免疫を獲得するために、通常複数回（標準的には2回または3回）の接種が必要である。1回では完了しない。誤り。
選択肢5: ワクチンは感染予防を目的とするものであり、既にHPVに感染している場合や発症したがんに対する治療効果はない。また、ワクチンに含まれない型のHPV感染は予防できない。誤り。"
問227,生物,"[(5,)]",○,[5],"添加物AはTLR4アゴニスト、添加物Bはアルミニウム塩であり、どちらも免疫応答を高めるアジュバントとして機能する。
選択肢1: 添加物A（3-脱アシル化-4'-モノホスホリルリピッドA）は細菌の細胞壁成分であるリポ多糖(LPS)の誘導体である。正しい。
選択肢2: 添加物Aと添加物Bはともにアジュバントであり、抗原に対する免疫応答を増強する。正しい。
選択肢3: 添加物B（アルミニウム塩）は抗原を吸着し、注射部位に抗原を保持するデポ効果により、抗原提示細胞への取り込みを促進し、免疫応答を持続させる効果がある。正しい。
選択肢4: 添加物AはToll様受容体4(TLR4)を刺激し、樹状細胞などの自然免疫系の細胞を活性化させ、抗原提示能を高める。正しい。
選択肢5: アジュバントである添加物Aと添加物Bは、自然免疫応答を活性化し、それによって獲得免疫応答を増強する。自然免疫応答を抑制するわけではない。誤り。"
問228,実務,"[(3, 5)]",×,"[3, 4]","慢性腎臓病(CKD)の重症度は、原因(Cause)、腎機能を示すGFR区分(eGFR値に基づく)、および腎障害を示すタンパク尿またはアルブミン尿区分(尿中アルブミン/クレアチニン比または尿中タンパク/クレアチニン比に基づく)を組み合わせたCGA分類によって評価される。
選択肢1: BUNは腎機能の指標の一つだが、GFR区分には用いられない。
選択肢2: 血清アルブミンは栄養状態やネフローゼ症候群の評価に用いられるが、CKD重症度の基本分類項目ではない。
選択肢3: eGFRはGFR区分の評価に必須である。
選択肢4: 尿中アルブミン/クレアチニン比はアルブミン尿区分の評価に用いられ、タンパク尿よりも感度が高いとされる。
選択肢5: 尿タンパク/クレアチニン比もタンパク尿区分として用いられるが、アルブミン尿が推奨されている。
したがって、重症度分類に必須なのはeGFRと尿中アルブミン/クレアチニン比である。"
問229,衛生,"[(1,)]",○,[1],"オッズ比を計算するために、与えられた情報から2x2分割表を作成する。曝露を「食塩摂取量 6.0 g/日以上」、疾病を「ESRD発症」とする。
総患者数: 500人
ESRD発症(+)群: 100人
ESRD発症(-)群: 400人 (500 - 100)
食塩≧6.0g (+)群 (全体): 85人
ESRD発症(+) かつ 食塩≧6.0g (+): 20人 (a)
これから、以下の人数が計算できる。
ESRD発症(+) かつ 食塩<6.0g (-): 100 - 20 = 80人 (b)
ESRD発症(-) かつ 食塩≧6.0g (+): 85 - 20 = 65人 (c)
ESRD発症(-) かつ 食塩<6.0g (-): 400 - 65 = 335人 (d)
分割表:
|             | 食塩≧6.0g (+) | 食塩<6.0g (-) | 計   |
|-------------|----------------|---------------|------|
| ESRD (+)    | 20 (a)         | 80 (b)        | 100  |
| ESRD (-)    | 65 (c)         | 335 (d)       | 400  |
| 計          | 85             | 415           | 500  |
オッズ比 = (a*d) / (b*c) = (20 * 335) / (80 * 65) = 6700 / 5200 = 67 / 52 ≈ 1.288
選択肢の中で最も近い値は1.3である。"
問230,衛生,"[(1, 3)]",○,"[1, 3]","SFTS（重症熱性血小板減少症候群）に関する記述の正誤を判断する。
選択肢1: SFTSは感染症法における四類感染症に定められており、診断した医師は全数を届け出る必要がある。正しい。
選択肢2: SFTSの原因はSFTSウイルスであり、原虫ではない。主にマダニによって媒介される。誤り。
選択肢3: SFTSは主にSFTSウイルスを保有するマダニに咬まれることによって感染する。ダニが媒介する感染症である。正しい。
選択肢4: 現在、SFTSに対する有効なワクチンは実用化されていない。誤り。
選択肢5: 主な感染経路はマダニ媒介であるが、感染者の血液や体液に直接接触することによるヒト-ヒト感染のリスクも報告されている。感染のおそれがないわけではない。誤り。"
問231,実務,"[(2, 3)]",○,"[2, 3]","SFTSを媒介するマダニに対する忌避剤（虫よけ剤）の有効成分を選ぶ。
選択肢1: イミダクロプリドはネオニコチノイド系殺虫剤で、主に農薬や動物用医薬品として使用される。人体用忌避剤ではない。
選択肢2: ディート(DEET)は、蚊、ブユ、アブ、マダニなど広範囲の吸血害虫に対して忌避効果が認められている代表的な成分である。正しい。
選択肢3: イカリジンも、蚊、ブユ、アブ、マダニなどに対して忌避効果があり、DEETと比較して皮膚刺激性が低いとされる。正しい。
選択肢4: ジクロルボス(DDVP)は有機リン系殺虫剤であり、人体用忌避剤ではない。
選択肢5: ジフェンヒドラミンは抗ヒスタミン薬であり、虫刺されによるかゆみを抑える目的で配合されることはあるが、忌避効果はない。"
問232,実務,"[(1,)]",×,[3],"Clostridioides difficile (旧名 Clostridium difficile) 感染症(CDI)は、抗菌薬投与などにより腸内細菌叢が乱れた結果、C. difficile が異常増殖し、産生する毒素(Toxin A, Toxin B)によって引き起こされる下痢症である。CDIによる下痢に対して、ロペラミド塩酸塩のような腸管運動抑制作用のある止瀉薬を使用すると、毒素の腸管内滞留時間が延長し、症状の悪化や重篤な合併症（中毒性巨大結腸症など）を誘発する危険性があるため、原則として使用しない。
選択肢1: メロペネムは広域抗菌薬であり、CDIの誘因となった可能性が高いが、下痢を悪化させる薬剤ではない。
選択肢2: イトラコナゾールは抗真菌薬であり、CDIを直接悪化させる可能性は低い。
選択肢3: ロペラミド塩酸塩カプセルは止瀉薬であり、CDIによる下痢を悪化させる可能性がある。正しい。
選択肢4: メトクロプラミドは制吐薬・消化管運動改善薬であり、CDIを直接悪化させる主な薬剤ではない。
選択肢5: 酪酸菌(宮入菌)製剤は整腸剤であり、CDIの治療や予防に用いられることがある。"
問233,衛生,"[(4, 5)]",×,"[1, 5]","Clostridioides difficile は芽胞を形成する偏性嫌気性桿菌であり、芽胞は環境中で長期間生存し、熱や消毒薬に対する抵抗性が高い。院内感染対策では、接触感染予防策が重要となる。
選択肢1: CDIの主な感染経路は、患者の糞便で汚染された手指や医療器具、環境表面などを介した接触感染である。正しい。
選択肢2: C. difficile の芽胞は熱抵抗性が高く、通常の煮沸消毒（100℃）では死滅しない。滅菌にはオートクレーブ（121℃、15分以上）が必要である。誤り。
選択肢3: アルコールベースの手指消毒剤は C. difficile の芽胞に対する殺滅効果は低い。そのため、CDI患者のケアにおいては、石けんと流水による物理的な手洗いが推奨される。誤り。
選択肢4: クレゾール石けんは芽胞に対する効果は不十分である。誤り。
選択肢5: C. difficile の芽胞に対して有効な消毒薬として、次亜塩素酸ナトリウム（0.1～0.5%）が環境消毒に用いられる。正しい。"
